BFS_2017,Gemeinde_2017,GSB17_Teilnahme,GSB17_Q1_1,GSB17_Q1_2,GSB17_Q1_3,GSB17_Q1_4,GSB17_Q1_5,GSB17_Q1_6,GSB17_Q1_7,GSB17_Q1_8,GSB17_Q1_9,GSB17_Q1_10,GSB17_Q1_11,GSB17_Q1_12,GSB17_Q1_13,GSB17_Q1_14,GSB17_Q2_Q2_1,GSB17_Q2_Q2_2,GSB17_Q2_Q2_3,GSB17_Q2_Q2_4,GSB17_Q2_Q2_5,GSB17_Q2_Q2_6,GSB17_Q2_Q2_7,GSB17_Q2_Q2_8,GSB17_Q2_Q2_9,GSB17_Q2_Q2_10,GSB17_Q2_Q2_11,GSB17_Q2_Q2_12,GSB17_Q2_Q2_13,GSB17_Q2_Q2_14,GSB17_Q2_Q2_15,GSB17_Q2_Q2_16,GSB17_Q2_Q2_17,GSB17_Q2_Q2_18,GSB17_Q2_Q2_19,GSB17_Q2_Q2_20,GSB17_Q2_Q2_21,GSB17_Q2_Q2_22,GSB17_Q2_Q2_23,GSB17_Q2_Q2_24,GSB17_Q2_Q2_25,GSB17_Q2_Q2_26,GSB17_Q2_Q2_27,GSB17_Q2_Q2_28,GSB17_Q2_Q2_29,GSB17_Q2_Q2_30,GSB17_Q2_Q2_31,GSB17_Q2_Q2_32,GSB17_Q3,GSB17_Q4,GSB17_Q5,GSB17_Q6,GSB17_Q7,GSB17_Q8_1,GSB17_Q8_2,GSB17_Q8_3,GSB17_Q8_4,GSB17_Q8_5,GSB17_Q8_6,GSB17_Q8_7,GSB17_Q8_8,GSB17_Q8_9,GSB17_Q8_10,GSB17_Q8_11,GSB17_Q8_12,GSB17_Q8_13,GSB17_Q8_14,GSB17_Q9,GSB17_Q10,GSB17_Q11_1,GSB17_Q11_2,GSB17_Q11_3,GSB17_Q11_4,GSB17_Q11_5,GSB17_Q11_6,GSB17_Q11_7,GSB17_Q11_8,GSB17_Q11_9,GSB17_Q11_10,GSB17_Q11_11,GSB17_Q11_12,GSB17_Q11_13,GSB17_Q11_14,GSB17_Q11_15,GSB17_Q12_Q12_1,GSB17_Q12_Q12_2,GSB17_Q12_Q12_3,GSB17_Q12_Q12_4,GSB17_Q12_Q12_5,GSB17_Q12_Q12_6,GSB17_Q12_Q12_7,GSB17_Q12_Q12_8,GSB17_Q12_Q12_9,GSB17_Q12_Q12_10,GSB17_Q12_Q12_11,GSB17_Q12_Q12_12,GSB17_Q12_Q12_13,GSB17_Q12_Q12_14,GSB17_Q12_Q12_15,GSB17_Q12_Q12_16,GSB17_Q12_Q12_17,GSB17_Q12_Q12_18,GSB17_Q12_Q12_19,GSB17_Q12_Q12_20,GSB17_Q12_Q12_21,GSB17_Q12_Q12_22,GSB17_Q12_Q12_23,GSB17_Q12_Q12_24,GSB17_Q12_Q12_25,GSB17_Q12_Q12_26,GSB17_Q12_Q12_27,GSB17_Q12_Q12_28,GSB17_Q12_Q12_29,GSB17_Q12_Q12_30,GSB17_Q12_Q12_31,GSB17_Q12_Q12_32,GSB17_Q13_1,GSB17_Q13_2,GSB17_Q13_3,GSB17_Q14,GSB17_Q15,GSB17_Q15_1_1,GSB17_Q15_2_1,GSB17_Q96_1,GSB17_Q16,GSB17_Q17,GSB17_Q18_1,GSB17_Q18_2,GSB17_Q18_3,GSB17_Q18_4,GSB17_Q18_5,GSB17_Q18_6,GSB17_Q18_7,GSB17_Q18_8,GSB17_Q18_9,GSB17_Q18_10,GSB17_Q18_11,GSB17_Q18_12,GSB17_Q18_13,GSB17_Q18_14,GSB17_Q18_15,GSB17_Q18_16,GSB17_Q18_17,GSB17_Q18_18,GSB17_Q18_19,GSB17_Q18_20,GSB17_Q18_21,GSB17_Q19_1,GSB17_Q20,GSB17_Q21,GSB17_Q22_1_1,GSB17_Q22_1_2,GSB17_Q22_1_3,GSB17_Q22_1_4,GSB17_Q22_1_5,GSB17_Q22_1_6,GSB17_Q22_1_7,GSB17_Q22_1_8,GSB17_Q22_1_9,GSB17_Q22_1_10,GSB17_Q22_1_11,GSB17_Q22_1_12,GSB17_Q22_1_13,GSB17_Q22_2_1,GSB17_Q22_2_2,GSB17_Q22_2_3,GSB17_Q22_2_4,GSB17_Q22_2_5,GSB17_Q22_2_6,GSB17_Q22_2_7,GSB17_Q22_2_8,GSB17_Q22_2_9,GSB17_Q22_2_10,GSB17_Q22_2_11,GSB17_Q22_2_12,GSB17_Q22_2_13,GSB17_Q22_3_1,GSB17_Q22_3_2,GSB17_Q22_3_3,GSB17_Q22_3_4,GSB17_Q22_3_5,GSB17_Q22_3_6,GSB17_Q22_3_7,GSB17_Q22_3_8,GSB17_Q22_3_9,GSB17_Q22_3_10,GSB17_Q22_3_11,GSB17_Q22_3_12,GSB17_Q22_3_13,GSB17_Q23_1_1,GSB17_Q23_1_2,GSB17_Q23_1_3,GSB17_Q23_1_4,GSB17_Q23_1_5,GSB17_Q23_2_1,GSB17_Q23_2_2,GSB17_Q23_2_3,GSB17_Q23_2_4,GSB17_Q23_2_5,GSB17_Q23_3_1,GSB17_Q23_3_2,GSB17_Q23_3_3,GSB17_Q23_3_4,GSB17_Q23_3_5,GSB17_Q24_1,GSB17_Q24_2,GSB17_Q24_3,GSB17_Q24_4,GSB17_Q24_5,GSB17_Q24_6,GSB17_Q24_7,GSB17_Q24_8,GSB17_Q24_9,GSB17_Q25_1,GSB17_Q25_2,GSB17_Q25_3,GSB17_Q25_4,GSB17_Q25_5,GSB17_Q26_1_1,GSB17_Q26_1_2,GSB17_Q26_1_3,GSB17_Q26_1_4,GSB17_Q26_1_5,GSB17_Q26_1_6,GSB17_Q26_1_7,GSB17_Q26_1_8,GSB17_Q26_1_9,GSB17_Q26_1_10,GSB17_Q26_2_1,GSB17_Q26_2_2,GSB17_Q26_2_3,GSB17_Q26_2_4,GSB17_Q26_2_5,GSB17_Q26_2_6,GSB17_Q26_2_7,GSB17_Q26_2_8,GSB17_Q26_2_9,GSB17_Q26_2_10,GSB17_Q26_3_1,GSB17_Q26_3_2,GSB17_Q26_3_3,GSB17_Q26_3_4,GSB17_Q26_3_5,GSB17_Q26_3_6,GSB17_Q26_3_7,GSB17_Q26_3_8,GSB17_Q26_3_9,GSB17_Q26_3_10,GSB17_Q27_1_1,GSB17_Q27_1_2,GSB17_Q27_1_3,GSB17_Q27_2_1_1,GSB17_Q27_2_2_1,GSB17_Q27_2_3_1,GSB17_Q28_1_1,GSB17_Q28_1_2,GSB17_Q28_1_3,GSB17_Q28_1_4,GSB17_Q28_1_5,GSB17_Q28_1_6,GSB17_Q28_2_1,GSB17_Q28_2_2,GSB17_Q28_2_3,GSB17_Q28_2_4,GSB17_Q28_2_5,GSB17_Q28_2_6,GSB17_Q29_1,GSB17_Q30_1,GSB17_Q31_1,GSB17_Q32_1,GSB17_Q33,GSB17_Q34_1_1,GSB17_Q34_1_2,GSB17_Q34_1_3,GSB17_Q34_1_4,GSB17_Q34_1_5,GSB17_Q34_1_6,GSB17_Q34_1_7,GSB17_Q34_1_8,GSB17_Q34_1_9,GSB17_Q34_1_10,GSB17_Q34_1_11,GSB17_Q34_1_12,GSB17_Q34_1_13,GSB17_Q34_1_14,GSB17_Q34_1_15,GSB17_Q34_1_16,GSB17_Q34_2_1,GSB17_Q34_2_2,GSB17_Q34_2_3,GSB17_Q34_2_4,GSB17_Q34_2_5,GSB17_Q34_2_6,GSB17_Q34_2_7,GSB17_Q34_2_8,GSB17_Q34_2_9,GSB17_Q34_2_10,GSB17_Q34_2_11,GSB17_Q34_2_12,GSB17_Q34_2_13,GSB17_Q34_2_14,GSB17_Q34_2_15,GSB17_Q34_2_16,GSB17_Q34_3_1,GSB17_Q34_3_2,GSB17_Q34_3_3,GSB17_Q34_3_4,GSB17_Q34_3_5,GSB17_Q34_3_6,GSB17_Q34_3_7,GSB17_Q34_3_8,GSB17_Q34_3_9,GSB17_Q34_3_10,GSB17_Q34_3_11,GSB17_Q34_3_12,GSB17_Q34_3_13,GSB17_Q34_3_14,GSB17_Q34_3_15,GSB17_Q34_3_16,GSB17_Q35_1_1,GSB17_Q35_1_2,GSB17_Q35_1_3,GSB17_Q135_2,GSB17_Q36a,GSB17_Q36b,GSB17_Q37,GSB17_Q38,GSB17_Q39a_1,GSB17_Q39a_2,GSB17_Q39a_3,GSB17_Q39b_1,GSB17_Q39b_2,GSB17_Q40_1,GSB17_Q41_1,GSB17_Q41b_1,GSB17_Q42,GSB17_Q43_1,GSB17_Q43_2,GSB17_Q44_1_Q44_1_1,GSB17_Q44_1_Q44_1_2,GSB17_Q44_1_Q44_2_1,GSB17_Q44_1_Q44_2_2,GSB17_Q44_1_Q44_3_1,GSB17_Q44_1_Q44_3_2,GSB17_Q44_1_Q44_4_1,GSB17_Q44_1_Q44_4_2,GSB17_Q44_1_Q44_5_1,GSB17_Q44_1_Q44_5_2,GSB17_Q44_1_Q44_6_1,GSB17_Q44_1_Q44_6_2,GSB17_Q44_1_Q44_7_1,GSB17_Q44_1_Q44_7_2,GSB17_Q44_1_Q44_8_1,GSB17_Q44_1_Q44_8_2,GSB17_Q44_1_Q44_9_1,GSB17_Q44_1_Q44_9_2,GSB17_Q44_1_Q44_10_1,GSB17_Q44_1_Q44_10_2,GSB17_Q44_1_Q44_11_1,GSB17_Q44_1_Q44_11_2,GSB17_Q44_1_Q44_12_1,GSB17_Q44_1_Q44_12_2,GSB17_Q44_1_Q44_13_1,GSB17_Q44_1_Q44_13_2,GSB17_Q44_1_Q44_14_1,GSB17_Q44_1_Q44_14_2,GSB17_Q44_1_Q44_15_1,GSB17_Q44_1_Q44_15_2,GSB17_Q44_1_Q44_16_1,GSB17_Q44_1_Q44_16_2,GSB17_Q44_1_Q44_17_1,GSB17_Q44_1_Q44_17_2,Total,GSB17_Q44_2_Q44_1,GSB17_Q44_2_Q44_2,GSB17_Q44_2_Q44_3,GSB17_Q44_2_Q44_4,GSB17_Q44_2_Q44_5,GSB17_Q44_2_Q44_6,GSB17_Q44_2_Q44_7,GSB17_Q44_2_Q44_8,GSB17_Q44_2_Q44_9,GSB17_Q44_2_Q44_10,GSB17_Q44_2_Q44_11,GSB17_Q44_2_Q44_12,GSB17_Q44_2_Q44_13,GSB17_Q44_2_Q44_14,GSB17_Q44_2_Q44_15,GSB17_Q44_2_Q44_16,GSB17_Q44_2_Q44_17,GSB17_Q45,GSB17_Q46_1,GSB17_Q47,GSB17_Q48a_1,GSB17_Q48b_1,GSB17_Q49_1,GSB17_Q49_2,GSB17_Q49_3,GSB17_Q49_4,GSB17_Q49_5,GSB17_Q49_6,GSB17_Q50_1,GSB17_Q50_2,GSB17_Q50_3,GSB17_Q50_4,GSB17_Q51,GSB17_Q52_1_1_1,GSB17_Q52_1_2_1,GSB17_Q52_1_3_1,GSB17_Q52_2_1_1,GSB17_Q52_2_2_1,GSB17_Q52_2_3_1,GSB17_Q53,GSB17_Q54_1,GSB17_Q54_2,GSB17_Q54_3,GSB17_Q54_4,GSB17_Q54_5,GSB17_Q54_6,GSB17_Q54_7,GSB17_Q54_8,GSB17_Q54_9,GSB17_Q54_10,GSB17_Q55_1,GSB17_Q56,GSB17_Q56_3_TEXT,GSB17_Q57_1,GSB17_Q57_2,GSB17_Q57_3,GSB17_Q57_4,GSB17_Q58,GSB17_Q59_1,GSB17_Q59_2,GSB17_Q59_3,GSB17_Q60,GSB17_Q61,GSB17_Q61_2_TEXT,GSB17_Q62,GSB17_Q63,GSB17_Q64,GSB17_Q65,GSB17_Q66,pop17,pop17_8,pop17_10,kant2017,spr17
11,Ottenbach,1,3,2,3,3,2,3,2,3,1,2,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,2,99,3,3,2,3,3,2,2,3,1,3,3,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,,,2,,,1,6,7,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,1,5,0,0,,,120000,30,20,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,,,,,1,50,2,,,,,,,,,,,,,,7,,,510,,,1,2,4,3,3,1,2,2,3,2,2,6,1,,1,2,1,1,1,1,1,2,2,1,,5,2013,1,2,4,2590,5,5,1,1
12,Rifferswil,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,2,1,2,2,3,3,2,3,2,2,2,2,2,3,3,2,2,2,1,2,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,6,1,3,1,3,3,3,1,3,3,1,3,1,1,1,2,3,3,1,1,,,,2,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,5,5,1,1,5,3,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,2,2,2,1,2,,1,2,1,,1,6,6,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,2,7,1,4,1,7,,,,,85000,,,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,70,2,,,,,,,,,,,,,,4,,,250,,,1,1,1,5,1,1,5,5,3,3,5,8,1,,1,2,1,1,2,1,1,1,2,1,,5,,30,1,2,1078,4,4,1,1
13,Stallikon,1,2,2,2,2,2,2,2,3,2,2,2,3,1,3,2,2,3,2,5,4,4,3,5,3,3,1,2,4,3,3,3,4,3,2,3,3,3,5,2,3,3,4,3,3,3,3,1,4,1,2,5,3,3,1,3,3,3,3,3,3,3,3,2,1,3,1,2,,,,,,,,,,,,,,,,1,2,1,6,6,3,3,3,6,3,1,1,1,1,1,1,1,1,1,2,1,3,1,6,1,3,5,1,1,1,1,1,2,2,2,2,1,,,,2,2,2,2,3,2,2,1,2,3,2,3,2,3,2,3,4,4,3,3,2,3,3,,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,3,2,2,2,2,3,3,1,1,1,3,1,1,1,1,1,1,1,,,,,,,,,,,5,4,3,3,3,4,4,2,4,4,4,4,4,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,,2,2,,1,,,,,,,,,2,2,1,,,1,1,1,2,1,2,2,,,2,,2,1,2,6,5,4,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,1,6,3,5,1,6,0,0,,,190000,15,15,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,1,60,2,,,,,,,,,,,,,,10,4,,910,360,,1,4,3,3,2,1,3,3,2,2,3,8,1,,1,2,1,2,2,2,1,1,,1,,5,,7,1,5,3646,5,5,1,1
14,Wettswil am Albis,1,3,3,3,3,2,2,3,3,2,3,2,2,3,3,1,1,1,5,5,1,2,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,2,1,1,1,1,1,1,1,2,4,1,3,1,3,1,3,3,1,1,1,1,3,3,3,1,1,1,2,,,,,,,,,,,,,,,,3,5,3,6,3,3,3,3,1,4,3,1,1,1,1,1,1,,1,,1,3,3,,1,3,3,1,5,1,1,1,2,2,2,2,1,,,,2,3,3,3,3,3,2,3,3,3,2,3,2,2,3,3,4,4,3,2,3,3,3,5,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,4,4,4,4,4,5,4,2,3,4,4,4,4,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,,2,2,2,2,2,,,,,,,,,,,,,1,,,1,1,1,2,1,1,1,,,1,,,,6,6,9,8,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,37.3,57.2,2,5,1,2,1,5,,,,,135000,32,27,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,1,80,2,,,,,,,,,,,,,,13,,50,1200,,4000,1,5,1,1,1,1,2,1,1,1,1,9,1,,1,2,1,2,2,2,1,2,2,1,,5,1995,29,1,2,5122,6,6,1,1
21,Adlikon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,3,3,1,1
22,Benken (ZH),1,2,3,3,3,2,1,1,1,3,3,2,2,3,3,1,1,2,5,1,1,,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,2,4,1,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,6,3,1,2,2,2,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,3,2,1,1,1,1,1,2,2,2,2,1,,,,2,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,5,5,3,4,3,2,3,5,3,3,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,3,4,2,3,3,4,4,3,3,4,4,4,4,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,,,,,,,,1,1,1,0,0,0,1,1,2,1,1,1,,,2,,,,3,5,9,7,0,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,2,5,2,5,1,5,,,,,54000,5,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,,,,,1,35,2,,,,,,,,,,,,,,3,,,230,,,3,4,1,1,1,1,1,1,1,2,3,8,1,,1,2,1,1,2,2,1,1,2,1,,5,,5,1,5,857,3,3,1,1
23,Berg am Irchel,1,3,3,3,3,2,2,3,2,3,3,3,3,3,3,5,5,1,5,1,2,5,5,1,1,5,1,1,2,2,2,1,1,1,5,1,1,1,5,1,1,5,2,4,1,1,1,3,3,4,2,2,3,3,3,3,3,3,3,3,1,3,4,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,4,1,1,6,3,1,3,6,1,4,6,1,1,1,3,5,1,3,5,6,1,3,3,6,1,3,2,1,5,1,1,1,1,3,2,1,5,,,,2,2,2,3,3,1,1,1,1,1,4,3,2,4,3,3,4,4,4,3,5,2,2,3,3,2,1,1,1,3,1,3,2,1,1,1,3,2,2,2,1,1,1,1,2,2,1,2,1,3,2,2,2,2,2,3,1,2,2,1,2,1,3,2,2,1,1,1,1,1,,,,,,,,,,,4,1,2,2,2,4,4,2,2,5,5,5,5,3,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,1,1,1,0,0,0,1,1,2,2,1,,,,2,1,,,3,5,3,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,43,65,2,5,1,4,1,5,0,0,,,41400,5,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,1,45,2,,,,,,,,,,,,,,2,,,150,,,2,4,1,1,3,1,3,2,1,2,1,8,1,,1,2,1,2,2,1,1,2,2,1,,1,,6,1,7,567,3,3,1,1
24,Buch am Irchel,1,3,2,3,3,2,3,2,2,3,3,2,2,3,3,1,5,1,5,1,1,1,5,5,5,5,1,1,1,5,5,3,5,5,5,2,2,2,5,5,1,1,3,3,4,1,3,,,,2,99,2,3,1,3,3,1,3,3,1,3,1,3,2,3,1,2,,,,,,,,,,,,,,,,5,6,5,6,3,1,1,6,6,4,1,1,1,5,6,6,5,6,1,6,1,3,1,6,6,3,,1,1,1,1,1,2,2,2,1,5,,,,2,3,2,3,2,1,2,4,3,3,4,3,3,3,5,2,4,4,4,4,2,2,3,3,99,2,1,1,1,2,1,2,3,3,2,1,3,2,2,2,1,2,1,1,2,2,3,2,1,3,2,2,1,2,2,3,1,2,3,3,2,1,3,2,2,1,1,1,1,1,,,,,,,,,,,2,1,2,2,3,4,4,3,4,3,4,5,5,2,2,1,2,2,1,1,1,1,2,2,,,2,,2,2,2,2,,,,,,,,,,,,,2,2,1,,,2,1,1,2,1,2,1,,,2,,2,,5,5,5,6,0,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,1,5,,,,,70000,20,20,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,1,30,2,,,,,,,,,,,,,,4,3,,245,260,,1,4,5,2,3,1,1,3,3,1,2,7,1,,1,2,1,1,2,1,1,2,2,1,,5,2014,2,2,4,956,3,3,1,1
25,Dachsen,1,2,2,3,3,2,2,3,3,3,3,3,2,3,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,3,4,2,99,2,3,3,3,3,3,3,3,1,3,2,3,1,4,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,5,6,2,1,2,2,1,2,1,1,1,5,5,1,1,1,1,,2,2,2,6,1,2,1,1,5,1,1,1,2,2,2,2,1,,,,2,3,1,3,3,2,2,2,2,2,4,3,2,3,3,3,3,4,3,2,2,2,3,5,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,1,1,,,,3,3,4,3,3,3,3,3,3,4,4,5,5,4,2,1,1,2,2,1,2,2,1,2,2,1,,2,2,2,2,2,1,2,,,1,,,,,,,,2,1,1,,0,0,1,1,2,1,2,1,,,2,,2,,4,5,7,6,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45,41,2,5,0,3,1,5,0,0,,,85000,12,10,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,6,2,,420,150,,1,4,3,2,2,1,3,3,1,4,3,8,1,,1,2,1,1,2,2,1,1,2,1,,5,2016,6,2,6,1997,4,4,1,1
26,Dorf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,3,3,1,1
27,Feuerthalen,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,5,2,4,4,1,2,4,2,1,1,2,4,4,2,2,2,5,3,2,2,5,1,3,5,2,2,3,1,3,3,4,2,2,3,4,3,3,3,3,3,3,3,1,1,3,2,1,1,1,1,2,2,2,2,2,1,1,1,1,,1,2,1,1,1,4,2,1,3,3,1,3,3,1,4,1,1,1,1,1,1,1,3,1,6,1,3,5,3,1,3,2,1,5,1,1,1,1,3,2,2,1,,,,2,3,2,3,3,3,2,4,3,3,2,3,3,4,3,3,5,5,3,3,3,3,3,5,3,3,1,1,1,3,1,3,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,5,4,2,4,4,5,3,2,3,3,3,4,3,3,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,1,0,0,0,2,2,2,1,1,2,1,3,3,,,1,3,5,5,6,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,29,31,43,2,8,1,3,1,8,,,,,232800,63,26,1,3,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,70,2,,,,,,,,,,,,,,23,,27,1825,,77763,1,3,3,3,3,3,3,4,2,4,1,6,1,,1,2,1,1,1,1,1,1,2,1,,5,,7,1,6,3597,5,5,1,1
